trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-10T21:21:31.961+00:00,276.7,,,,,,,
2,2026-02-10T21:21:46.961+00:00,145.1,,,,,,,
3,2026-02-10T21:22:01.963+00:00,149.3,0000019c49618779,2080.2,6670.8,,,,
4,2026-02-10T21:22:16.964+00:00,136.8,0000019c4961c220,2211.8,5744.6,,15.13,14.08,
5,2026-02-10T21:22:31.965+00:00,143.5,,,,,,,
6,2026-02-10T21:22:46.966+00:00,138.1,,,,,,,
7,2026-02-10T21:23:01.968+00:00,136.9,0000019c496271a0,2165.7,6765.6,,44.96,46.03,
8,2026-02-10T21:23:16.969+00:00,132.5,,,,,,,
