trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-10T21:21:58.205+00:00,140.2,0000019c496168ec,1980.7,6407.4,,,,
2,2026-02-10T21:22:13.206+00:00,138.2,0000019c4961a34f,1511.8,5455.6,,14.53,14.05,
3,2026-02-10T21:22:28.207+00:00,132.0,,,,,,,
4,2026-02-10T21:22:43.208+00:00,193.2,0000019c496218ca,1770.2,5465.8,,30.26,30.01,
5,2026-02-10T21:22:58.209+00:00,141.3,0000019c4962536c,1824.8,6479.8,,15.06,16.02,
6,2026-02-10T21:23:13.211+00:00,146.4,,,,,,,
7,2026-02-10T21:23:28.212+00:00,132.8,0000019c4962c877,1921.2,6417.4,,30.10,29.94,
8,2026-02-10T21:23:43.213+00:00,138.0,0000019c49630572,2393.4,5464.9,,15.47,14.05,
