trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-10T21:31:12.057+00:00,196.8,0000019c4969dce1,2320.8,6569.7,3092.9,,,
2,2026-02-10T21:31:27.059+00:00,145.6,0000019c496a1788,2054.4,5583.3,3271.6,14.73,14.01,15.18
3,2026-02-10T21:31:42.060+00:00,148.9,,,,,,,
4,2026-02-10T21:31:57.061+00:00,148.5,0000019c496a8c9d,2126.4,5578.3,3161.2,30.07,30.00,29.89
5,2026-02-10T21:32:12.063+00:00,139.9,0000019c496ac74a,2157.0,6567.4,3306.2,15.03,15.99,15.15
6,2026-02-10T21:32:27.064+00:00,187.5,,,,,,,
7,2026-02-10T21:32:42.065+00:00,178.6,0000019c496b3c8f,2383.9,6593.9,3105.2,30.23,30.03,29.80
8,2026-02-10T21:32:57.067+00:00,142.1,0000019c496b76ed,2134.0,5557.9,2051.9,14.75,13.97,13.95
