trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-10T23:06:46.555+00:00,286.0,0000019c49ce6985,2233.8,5315.2,3099.9,,,
2,2026-02-10T23:07:01.555+00:00,146.4,0000019c49cea43e,2345.5,7145.8,3265.2,15.11,16.83,15.17
3,2026-02-10T23:07:16.556+00:00,148.9,0000019c49cee13a,2801.2,6135.4,3775.1,15.46,13.99,15.51
4,2026-02-10T23:07:31.557+00:00,137.3,0000019c49cf1928,2090.3,5223.0,3161.2,14.29,14.09,14.39
5,2026-02-10T23:07:46.559+00:00,145.0,0000019c49cf51b9,1700.1,5670.0,1520.6,14.61,15.45,13.36
6,2026-02-10T23:08:01.559+00:00,208.2,,,,,,,
7,2026-02-10T23:08:16.561+00:00,132.6,0000019c49cfc956,2305.8,6127.2,2253.9,30.61,30.46,30.74
8,2026-02-10T23:08:31.562+00:00,161.1,0000019c49d00160,1601.2,5102.1,1620.6,14.30,13.98,14.37
