trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-10T21:25:11.180+00:00,135.7,0000019c49646a04,2989.0,7489.0,3178.4,,,
2,2026-02-10T21:25:26.181+00:00,144.2,,,,,,,
3,2026-02-10T21:25:41.182+00:00,134.6,,,,,,,
4,2026-02-10T21:25:56.183+00:00,146.3,0000019c496519bd,1965.0,6492.2,3157.9,43.98,44.01,44.98
5,2026-02-10T21:26:11.184+00:00,177.2,,,,,,,
6,2026-02-10T21:26:26.185+00:00,189.1,0000019c49658eb2,2101.8,6536.5,2981.9,30.14,30.05,29.83
7,2026-02-10T21:26:41.187+00:00,138.3,0000019c4965c96a,3003.2,7591.8,6467.7,15.90,16.06,18.49
8,2026-02-10T21:26:56.188+00:00,132.3,,,,,,,
