trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-10T21:22:07.670+00:00,131.0,0000019c496ea618,2091.6,5108.9,,,,
2,2026-02-10T21:22:22.672+00:00,148.3,,,,,,,
3,2026-02-10T21:22:37.673+00:00,148.8,0000019c496f1b67,1993.4,4995.7,,29.90,29.89,
4,2026-02-10T21:22:52.674+00:00,152.0,0000019c496f55ad,2002.6,6070.8,,15.01,16.08,
5,2026-02-10T21:23:07.675+00:00,149.5,,,,,,,
6,2026-02-10T21:23:22.676+00:00,145.7,0000019c496fcafc,1845.4,6025.3,,29.85,29.96,
7,2026-02-10T21:23:37.677+00:00,140.4,0000019c497005a8,1912.3,5002.8,,15.07,13.98,
8,2026-02-10T21:23:52.679+00:00,141.3,,,,,,,
