trigger_index,trigger_time,api_response_time_ms,meas_id,wifi_cloud_latency_ms,ilaas_latency_ms,zlp_latency_ms,wifi_cloud_gap_s,ilaas_gap_s,zlp_gap_s
1,2026-02-09T21:01:15.183+00:00,284.8,,,,,,,
2,2026-02-09T21:01:20.185+00:00,145.6,0000019c4428e675,1942.2,,,,,
3,2026-02-09T21:01:25.186+00:00,141.8,0000019c4428fbaa,2127.7,,,5.19,,
4,2026-02-09T21:01:30.187+00:00,140.3,0000019c44290e7d,2794.2,,,5.67,,
5,2026-02-09T21:01:35.188+00:00,133.6,0000019c44292125,1709.8,,,3.92,,
6,2026-02-09T21:01:40.189+00:00,141.5,0000019c44293646,2417.1,,,5.71,,
